,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
150,0.4702,0.59885,0.45585000000000003,0.454,0.44684999999999997,0.9999
151,0.44265,0.66965,0.4138,0.2789,0.4381,1.0
152,0.42314999999999997,0.6900000000000001,0.4355,0.176,0.38684999999999997,1.0
153,0.4277,0.7568,0.39375,0.1103,0.38365,1.0
154,0.37885,0.7339,0.42155,0.0727,0.38095,1.0
155,0.39025,0.81095,0.37584999999999996,0.0404,0.3888,1.0
156,0.4123,0.8391500000000001,0.12455,0.0685,0.3314,1.0
157,0.3752,0.81355,0.1013,0.0167,0.36645,1.0
158,0.4255,0.8417,0.0414,0.0277,0.30484999999999995,1.0
159,0.4263,0.844,0.027,0.0168,0.29025,1.0
160,0.4543,0.8636,0.0088,0.0358,0.3452,1.0
161,0.4219,0.8615999999999999,0.0028,0.0202,0.36774999999999997,1.0
162,0.4436,0.8835999999999999,0.021,0.0145,0.31039999999999995,1.0
163,0.42055,0.8818,0.0019,0.0112,0.3523,1.0
164,0.3783,0.8968,0.0,0.0247,0.30779999999999996,1.0
165,0.399,0.9008999999999999,0.0098,0.0014,0.3076,1.0
166,0.3767,0.89935,0.0,0.0214,0.3438,1.0
167,0.4336,0.9104000000000001,0.0,0.0,0.2959,1.0
168,0.5686,0.0709,0.8619,1.0,0.9556,0.0
169,0.4754,0.00705,0.7514,1.0,0.88,0.0
170,0.4555,0.052250000000000005,0.6529999999999999,1.0,0.8087,0.0
171,0.43805,0.13255,0.61365,0.9815,0.7476499999999999,0.0
172,0.4964,0.20115000000000002,0.5827,0.864,0.6413,0.0
173,0.51325,0.29585,0.50865,0.6502,0.62245,0.0
174,0.5298,0.40115,0.5441499999999999,0.546,0.5531499999999999,0.0001
175,0.47304999999999997,0.56935,0.45949999999999996,0.3272,0.49755,1.0
176,0.4531,0.58225,0.48109999999999997,0.208,0.45495,1.0
177,0.4531,0.65925,0.43895,0.1276,0.4356,1.0
178,0.4071,0.6262,0.46825,0.083,0.43674999999999997,1.0
179,0.4169,0.7200000000000001,0.41855,0.0489,0.43195,1.0
180,0.4347,0.75935,0.15875,0.0794,0.3817,1.0
181,0.3984,0.726,0.1223,0.0252,0.42364999999999997,1.0
182,0.4568,0.7594500000000001,0.0503,0.0332,0.34995,1.0
183,0.4601,0.75635,0.0312,0.0221,0.33485,1.0
184,0.4884,0.7898,0.0107,0.0404,0.3977,1.0
185,0.447,0.7816,0.004,0.0233,0.41595,1.0
186,0.4748,0.8132,0.0229,0.0178,0.3581,1.0
187,0.4471,0.8065,0.004,0.0182,0.39105,1.0
188,0.4035,0.83095,0.0015,0.0279,0.36169999999999997,1.0
189,0.4364,0.8429,0.0118,0.0034,0.36095,1.0
190,0.40375,0.83625,0.0005,0.0233,0.3861,1.0
191,0.4718,0.8538,0.0011,0.0,0.3464,1.0
192,0.57195,0.0696,0.86915,1.0,0.94725,0.0
193,0.4894,0.0053,0.77705,1.0,0.87815,0.0
194,0.47054999999999997,0.04195,0.6836,1.0,0.81345,0.0
195,0.4608,0.10310000000000001,0.64625,0.996,0.7556999999999999,0.0
196,0.51905,0.1599,0.6223,0.9502,0.64645,0.0
197,0.5302,0.236,0.5448,0.808,0.6223,0.0
198,0.55735,0.33035000000000003,0.5861999999999999,0.7211,0.5619,0.0
199,0.52695,0.43065,0.5405,0.6728,0.50245,0.0
200,0.4873,0.5125000000000001,0.51895,0.3429,0.45315,0.9985
201,0.4845,0.5991000000000001,0.47759999999999997,0.211,0.43934999999999996,1.0
202,0.4394,0.5544,0.5088,0.1423,0.44005,1.0
203,0.4624,0.6596,0.46015,0.1108,0.44,1.0
204,0.4734,0.7113499999999999,0.18425,0.1374,0.38265,1.0
205,0.4384,0.6734,0.14075,0.0605,0.42255,1.0
206,0.4928,0.7109,0.0554,0.0604,0.35714999999999997,1.0
207,0.501,0.6997,0.0344,0.041,0.33399999999999996,1.0
208,0.52995,0.7497,0.0155,0.0609,0.4002,1.0
209,0.4905,0.73365,0.005,0.032,0.4182,1.0
210,0.5138,0.77935,0.0238,0.0281,0.361,1.0
211,0.4888,0.76125,0.0057,0.0419,0.3956,1.0
212,0.44875,0.7978,0.0018,0.0383,0.3625,1.0
213,0.4891,0.8067500000000001,0.0121,0.0125,0.364,1.0
214,0.4514,0.80895,0.0006,0.0316,0.38339999999999996,1.0
215,0.51535,0.8312,0.0014,0.0019,0.35085,1.0
216,0.57585,0.0698,0.87235,0.97,0.96945,0.0
217,0.4919,0.005549999999999999,0.7648,0.97,0.9005,0.0
218,0.47585,0.0414,0.66745,0.97,0.84675,0.0
219,0.4782,0.1004,0.62995,0.9662,0.7951,0.0
220,0.5351,0.1437,0.60195,0.9418,0.6921999999999999,0.0
221,0.5468,0.21084999999999998,0.5297499999999999,0.8767,0.66065,0.0
222,0.57685,0.31,0.5645,0.824,0.61315,0.0
223,0.5469,0.41775,0.5189,0.792,0.54505,0.0
224,0.5127,0.4875,0.48105,0.6571,0.54685,0.0015
225,0.4974,0.5943499999999999,0.4582,0.345,0.47919999999999996,0.9976
226,0.4508,0.5529,0.48769999999999997,0.2484,0.48319999999999996,1.0
